,customer_id,credit_score,country,gender,age,tenure,balance,products_number,credit_card,active_member,estimated_salary
7481,15778589,626,France,Male,34,7,113014.7,2,1,1,56646.28
2259,15762216,686,France,Female,41,4,129553.76,2,1,0,187599.8
4751,15763256,661,Germany,Female,64,8,128751.65,2,1,0,189398.18
6564,15737104,652,Germany,Female,47,0,126597.89,2,1,1,38798.79
6207,15665811,644,France,Male,33,9,141234.98,1,1,0,95673.05
9361,15641773,580,Germany,Male,45,2,179334.83,2,1,1,169303.65
7337,15646082,676,France,Female,34,8,82909.14,1,1,0,91817.38
8621,15673820,568,France,Male,33,7,0.0,2,1,0,143450.61
4135,15789874,712,France,Female,29,3,87375.78,2,0,0,166194.53
4223,15588090,726,Germany,Female,51,8,107494.86,2,1,0,140937.91
8670,15758702,705,France,Female,55,8,0.0,2,1,1,14392.68
9764,15569526,601,France,Male,40,10,98627.13,2,0,0,77977.69
9344,15720050,727,France,Female,28,2,110997.76,1,1,0,101433.76
7999,15591489,826,France,Male,26,5,142662.68,1,0,0,60285.3
9848,15762708,619,Spain,Female,38,10,119658.49,1,1,1,8646.58
5860,15723818,453,France,Female,37,4,131834.76,2,1,0,8949.2
9588,15744914,539,Germany,Male,42,1,177728.55,1,1,0,105013.63
9118,15804052,710,Spain,Male,23,6,0.0,2,1,1,134188.11
8272,15705739,753,Germany,Male,32,5,159904.79,1,1,0,148811.14
1786,15603846,711,Spain,Male,37,2,0.0,2,1,0,83978.86
5575,15782879,656,France,Male,40,2,0.0,2,1,1,180553.48
6750,15690546,618,France,Female,42,2,0.0,4,0,0,111097.39
7434,15687527,638,Spain,Male,35,1,0.0,2,1,0,165370.66
6169,15785290,542,France,Male,29,9,0.0,1,1,0,8342.35
3098,15628523,539,France,Female,24,3,0.0,2,1,1,198161.07
7445,15630592,516,France,Female,45,4,0.0,1,1,0,95273.73
8010,15787756,467,Germany,Male,51,10,114514.71,2,1,0,177784.68
4701,15629787,652,France,Male,27,10,107303.72,2,0,0,44435.76
7621,15604963,661,France,Male,39,5,0.0,2,0,0,181461.46
9668,15752467,720,Spain,Male,34,3,0.0,2,1,1,77047.78
990,15745527,655,France,Male,37,5,93147.0,2,1,0,66214.13
1926,15716023,693,France,Male,31,1,0.0,2,0,1,182270.88
6403,15736126,850,Germany,Male,55,0,98710.89,1,1,1,83617.17
5531,15696744,705,France,Female,31,3,119794.67,1,0,0,182528.44
8309,15599976,749,France,Female,27,9,0.0,2,1,0,132734.87
1323,15629244,635,Spain,Male,50,7,159453.64,2,0,0,54560.79
4080,15812262,808,Germany,Female,37,2,100431.84,1,1,0,35140.49
8153,15692106,606,Spain,Female,25,3,147386.72,3,1,0,45482.04
1336,15682563,618,Spain,Male,38,5,126473.99,1,1,0,91972.49
1674,15675896,680,Germany,Female,42,7,105722.69,1,1,1,90558.24
4450,15791191,633,France,Male,59,2,103996.74,1,1,1,103159.11
6522,15632185,663,France,Female,42,1,82228.67,2,1,0,71359.78
4300,15633834,700,Germany,Female,28,3,99705.69,2,0,0,146723.72
8284,15701741,711,France,Female,39,3,152462.79,1,1,0,90305.97
2600,15744582,680,France,Female,24,10,0.0,3,1,0,154971.63
7067,15761854,746,France,Female,24,4,0.0,1,0,1,94105.0
1676,15658057,812,Spain,Female,44,8,0.0,3,1,0,66926.83
9600,15570533,621,Germany,Female,55,7,131033.76,1,0,1,75685.59
5558,15645355,677,Germany,Male,34,3,126729.41,1,1,1,26106.39
693,15740900,589,France,Male,34,6,0.0,2,1,1,177896.92
9019,15810227,421,France,Male,34,2,0.0,2,1,1,96615.23
2516,15798666,814,France,Female,36,6,0.0,2,1,1,98657.01
2646,15582944,425,Spain,Female,39,5,0.0,2,1,0,140941.47
2823,15764351,668,Germany,Female,59,5,120170.07,1,0,1,50454.8
7767,15748660,561,Germany,Female,49,1,102025.32,1,1,0,133051.64
4549,15587611,537,France,Male,59,9,0.0,2,0,0,103799.77
6712,15724838,599,France,Female,43,4,0.0,1,1,0,170347.1
4061,15605333,529,Spain,Male,31,6,0.0,1,1,0,10625.91
6966,15689661,663,France,Male,22,6,0.0,2,0,1,131827.15
1635,15604804,516,France,Female,33,7,127305.5,1,1,1,120037.36
4347,15645271,615,Germany,Male,24,8,108528.07,2,0,0,179488.41
9946,15618171,669,France,Female,33,9,0.0,2,0,1,107221.03
1355,15615029,734,Spain,Male,39,6,0.0,1,1,1,95135.27
1863,15641183,731,Spain,Male,25,8,96950.21,1,1,0,97877.92
6599,15739578,850,France,Male,49,6,128663.9,1,1,0,65769.3
1520,15786800,723,Germany,Male,52,5,131694.97,1,0,1,92873.5
2787,15700487,805,France,Male,46,6,118022.06,3,1,0,162643.15
112,15715951,562,France,Male,42,2,100238.35,1,0,0,86797.41
411,15760431,850,France,Male,38,1,0.0,2,1,1,80006.65
4473,15713532,646,Germany,Female,29,4,105957.44,1,1,0,15470.91
405,15692761,718,France,Male,36,9,0.0,1,1,0,45909.87
4385,15605375,651,France,Male,35,2,86911.8,1,1,0,174094.24
2408,15754112,653,Spain,Male,55,7,0.0,2,1,1,41967.03
6076,15721019,687,France,Female,24,3,110495.27,1,1,0,158615.41
5757,15601417,681,France,Male,32,3,148884.47,2,1,1,90967.37
6986,15702377,627,Spain,Male,48,1,132759.8,1,1,0,78899.22
3418,15632272,792,France,Female,42,2,0.0,2,1,0,92664.09
7886,15744979,666,France,Female,36,8,0.0,1,0,1,158666.99
849,15725811,705,France,Male,25,0,97544.29,1,0,1,59887.15
3344,15654292,565,Germany,Male,33,8,130368.31,2,1,0,105642.43
5681,15720706,529,Spain,Female,39,2,82766.43,1,1,1,122925.44
9186,15569452,652,Germany,Female,58,3,116353.2,2,0,1,193502.9
8511,15770091,643,Germany,Male,28,9,160858.13,2,1,0,27149.27
3766,15724890,584,Spain,Male,36,4,82696.09,2,0,0,83058.14
300,15803976,694,France,Female,31,10,0.0,2,1,0,160990.27
1855,15570601,785,France,Female,47,9,122031.55,1,1,1,33823.5
3891,15748854,723,Germany,Female,28,5,91938.31,1,1,0,143481.85
5812,15587835,850,France,Male,41,3,136416.82,1,0,1,57844.26
5819,15800366,546,France,Male,29,5,0.0,1,1,1,94823.95
4290,15598884,650,Spain,Female,23,5,0.0,1,1,1,180622.43
3994,15763097,809,Spain,Male,80,8,0.0,2,0,1,34164.05
8920,15697546,570,France,Female,36,3,0.0,2,1,0,92118.75
5253,15670496,655,Spain,Female,27,9,0.0,2,0,0,108008.05
132,15677871,687,France,Male,38,9,122570.87,1,1,1,35608.88
2525,15738411,505,France,Male,34,10,104498.79,1,0,1,126451.14
8150,15738936,760,Germany,Male,29,5,103607.24,2,0,1,86334.64
6109,15710105,581,Germany,Female,26,3,105099.45,1,1,1,184520.0
8969,15622461,562,France,Female,51,7,122822.0,2,0,0,32626.21
3520,15569248,554,France,Female,43,10,0.0,2,1,0,149629.13
1597,15656726,771,France,Male,32,5,62321.62,1,1,1,40920.59
4474,15719827,767,France,Male,36,3,0.0,1,0,0,65147.27
2284,15766765,664,Germany,Male,39,7,60263.23,1,1,0,170835.32
9915,15813140,543,Spain,Male,41,5,0.0,2,0,1,143980.29
5156,15675256,555,Spain,Male,33,5,127343.4,1,0,1,121789.3
9754,15572114,673,Spain,Male,40,1,121629.22,1,1,1,3258.6
2148,15811842,630,Spain,Male,26,7,0.0,2,1,1,6656.64
8919,15794323,673,France,Male,32,8,121240.76,1,1,0,116969.73
6887,15662641,850,France,Male,19,8,0.0,1,1,1,68569.89
6568,15776725,724,Germany,Male,54,8,172192.49,1,1,1,136902.01
5219,15625819,625,France,Female,38,7,0.0,1,1,0,164804.02
3441,15636658,596,France,Male,36,2,0.0,2,1,1,12067.39
5066,15702631,567,France,Female,26,2,0.0,2,1,1,78651.55
7102,15677112,519,France,Male,39,2,112957.26,2,1,0,97593.16
7179,15575438,613,France,Male,42,7,115076.06,1,1,1,79323.61
9794,15659364,685,Spain,Male,23,5,164902.43,1,0,0,141152.28
8057,15620836,816,Germany,Female,34,2,108410.87,2,1,0,102908.91
8204,15570141,724,France,Female,34,3,132352.69,1,1,0,80320.3
255,15765297,766,Spain,Male,41,0,0.0,2,0,1,34283.23
5666,15649616,636,Spain,Male,60,7,124447.73,1,1,1,141364.62
7449,15804235,698,France,Female,37,2,166178.02,2,1,1,71972.95
3640,15603665,638,Germany,Female,39,0,122501.28,2,1,1,95007.8
5585,15656597,432,Germany,Male,38,2,135559.8,2,1,1,71856.3
4907,15739931,523,France,Male,34,2,161588.89,1,1,1,51358.66
3748,15738166,596,France,Female,39,10,86546.29,1,0,1,131768.98
2753,15774491,480,France,Female,28,6,0.0,2,0,0,48131.92
3525,15632551,625,Germany,Male,31,4,77743.01,2,1,0,75335.68
7906,15712960,613,Spain,Male,37,3,171653.17,1,0,1,5353.12
6104,15750731,736,Germany,Male,50,9,116309.01,1,1,0,185360.4
1952,15781884,624,Germany,Male,27,9,94667.29,2,0,1,4470.52
2956,15642885,792,France,Male,30,8,0.0,2,1,0,199644.2
3976,15792180,566,Germany,Male,22,7,144954.75,2,1,0,102246.0
9734,15583221,667,Germany,Male,70,3,77356.92,2,1,1,20881.96
4208,15628558,447,France,Female,44,5,89188.83,1,1,1,75408.24
2645,15765322,755,France,Male,23,5,84284.48,2,1,1,62851.6
2189,15798310,480,France,Male,35,2,165692.91,1,1,1,197984.58
5268,15687648,691,France,Male,28,1,0.0,2,0,0,92865.41
3379,15637178,803,Spain,Female,45,7,0.0,2,1,1,128378.04
547,15720187,479,Germany,Female,30,7,143964.36,2,1,0,41879.99
2639,15581036,712,Germany,Female,40,3,109308.79,2,1,0,120158.72
9235,15586680,462,France,Male,27,4,176913.52,1,1,0,80587.27
9043,15801920,727,Germany,Male,39,5,80615.46,2,0,0,180962.32
163,15680772,721,Spain,Female,36,2,0.0,2,1,1,106977.8
8509,15750728,586,Spain,Female,42,2,0.0,1,1,0,102889.34
79,15803136,416,Germany,Female,41,10,122189.66,2,1,0,98301.61
8883,15707696,471,Spain,Female,28,5,0.0,2,1,1,22356.97
6636,15792679,575,France,Male,24,2,0.0,2,1,1,119927.81
1189,15791279,701,France,Male,40,5,169742.64,1,1,1,153537.55
5408,15638257,682,Spain,Female,54,0,83102.72,2,1,1,54132.93
4476,15723028,778,France,Male,33,1,0.0,2,1,0,85439.73
9226,15779913,586,France,Male,27,5,130231.8,2,1,1,192427.16
1727,15734491,676,Spain,Female,36,4,0.0,2,1,1,3173.31
2670,15760446,598,France,Female,64,9,0.0,1,0,1,13181.37
8585,15737047,754,France,Female,45,6,0.0,1,1,0,73881.68
1316,15808689,850,France,Female,31,4,0.0,2,1,1,33082.81
822,15765311,642,Spain,Male,34,8,0.0,1,1,0,72085.1
9886,15719541,675,Spain,Male,31,2,90826.27,2,1,0,60270.87
8998,15692577,674,Germany,Female,38,10,83727.68,1,1,0,45418.12
1461,15640627,611,Spain,Male,34,4,0.0,2,1,0,170950.58
9782,15728829,509,France,Male,18,7,102983.91,1,1,0,171770.58
7880,15612418,744,France,Female,38,9,0.0,2,0,0,20940.76
5539,15790067,614,Spain,Male,39,3,151914.93,1,0,0,56459.45
597,15567446,646,Germany,Male,39,9,111574.41,1,1,1,30838.51
8966,15679963,737,Germany,Male,43,8,96353.8,1,0,0,10209.8
3021,15574305,680,France,Male,36,3,116275.12,1,1,1,63795.8
9388,15707138,679,Spain,Male,39,5,0.0,2,1,1,100060.54
5180,15799720,569,Spain,Male,43,8,161546.68,2,0,1,178187.28
9078,15705448,647,Germany,Male,52,7,130013.12,1,1,1,190806.36
3857,15805025,636,France,Female,45,7,139859.23,1,1,1,108402.54
5941,15791030,612,France,Female,33,0,64900.32,2,1,0,102426.12
9966,15590213,479,Spain,Male,35,4,125920.98,1,1,1,20393.44
8354,15669994,556,Germany,Female,31,1,128663.81,2,1,0,125083.29
9382,15665634,645,France,Female,38,7,59568.57,1,1,1,167723.25
3883,15604355,519,France,Male,39,1,97700.02,1,1,1,30709.03
9051,15569624,671,Germany,Female,31,6,105864.6,2,1,0,145567.34
9137,15583026,535,France,Female,38,0,135919.33,1,1,0,80425.65
2885,15716024,660,Spain,Male,42,5,0.0,2,1,0,115509.59
1793,15777922,629,Spain,Male,36,1,161757.87,2,1,1,146371.72
7378,15641715,599,France,Male,34,8,0.0,2,1,1,174196.68
9414,15632280,544,Spain,Female,53,9,0.0,1,1,0,125692.07
8407,15675626,726,France,Male,28,2,0.0,1,0,0,98060.51
9696,15638788,550,France,Male,32,8,97514.07,1,1,1,199138.84
509,15598883,599,Spain,Female,37,2,0.0,2,1,1,143739.29
621,15603134,656,Spain,Female,40,10,167878.5,1,0,1,151887.16
7681,15633608,641,France,Male,33,2,146193.6,2,1,1,55796.83
4265,15810454,709,France,Male,32,4,147307.91,1,0,1,40861.55
5922,15786196,555,France,Female,44,3,105770.7,3,1,0,60533.96
619,15646161,673,Spain,Female,37,8,0.0,2,1,1,183318.79
6894,15707441,690,Spain,Male,26,8,116318.23,1,1,1,83253.05
6789,15809847,668,France,Male,46,0,0.0,2,0,0,29388.02
824,15603830,600,Spain,Male,36,4,0.0,2,1,0,143635.36
5802,15716236,499,France,Male,35,10,0.0,2,1,0,10722.54
1228,15578515,659,France,Female,38,3,0.0,2,1,0,158553.1
4705,15749489,533,Germany,Female,22,10,115743.6,1,0,0,43852.05
815,15619708,745,France,Male,25,5,157993.15,2,1,0,146041.45
2559,15650670,567,Germany,Female,40,2,105222.86,2,1,0,93795.86
1661,15806447,690,Germany,Male,32,0,106683.52,2,1,1,137916.49
7400,15802071,762,Germany,Male,35,1,117458.51,1,0,1,178361.48
5288,15652180,582,France,Male,30,2,0.0,2,1,1,132029.95
6725,15639552,603,Germany,Female,40,8,148897.02,1,0,0,105052.9
7768,15726695,601,Spain,Female,20,9,122446.61,2,1,0,86791.9
5614,15798385,512,Spain,Female,46,3,0.0,2,1,1,56408.14
9758,15701160,556,Germany,Female,43,4,125890.72,1,1,1,74854.97
3566,15741875,746,Spain,Female,25,3,104833.79,1,0,0,71911.3
3214,15667417,572,France,Male,33,9,68193.72,1,1,0,19998.31
8823,15578835,675,Spain,Female,50,1,133204.91,1,0,1,8270.06
315,15581539,474,Spain,Male,37,3,0.0,2,0,0,57175.32
606,15661249,699,France,Male,53,4,0.0,2,0,1,111307.98
2812,15581620,597,France,Male,28,2,0.0,3,1,1,78707.97
6600,15697360,505,France,Female,36,2,79951.9,1,0,1,174123.16
8162,15647333,621,France,Male,27,4,137003.68,1,1,0,21254.06
4380,15812241,438,Germany,Male,59,7,127197.14,1,1,0,51565.98
2718,15783444,788,France,Female,39,3,135139.33,1,0,1,113086.08
896,15733119,718,France,Male,35,8,0.0,2,1,0,94820.85
668,15640825,695,Spain,Male,46,3,122549.64,1,1,1,56297.85
3721,15758362,731,France,Female,41,9,152243.57,1,1,1,88783.59
9455,15603481,689,Spain,Female,55,4,0.0,2,1,1,58442.25
134,15712543,789,Germany,Male,39,7,124828.46,2,1,1,124411.08
4339,15605293,559,France,Female,43,1,0.0,2,1,1,196645.87
4242,15746553,526,Germany,Male,50,5,124233.24,1,0,1,159456.87
5349,15567246,684,Germany,Male,32,3,102630.13,2,1,1,127433.47
8751,15635531,575,Spain,Female,30,8,0.0,2,1,0,185341.63
1650,15718106,625,France,Male,34,6,0.0,2,0,0,197283.2
6378,15768763,562,France,Male,37,2,0.0,1,0,1,52525.15
4031,15648461,688,Spain,Male,37,7,138162.41,2,1,1,113926.31
1112,15714750,690,France,Female,42,3,92578.14,2,0,0,70810.6
8196,15589312,588,France,Male,30,3,115007.08,1,0,0,176858.5
6456,15755978,606,France,Male,31,10,0.0,2,1,0,195209.4
2674,15756472,804,France,Male,25,7,108396.67,1,1,0,128276.95
1247,15711288,512,France,Male,24,6,0.0,2,1,0,37654.31
1133,15706899,559,France,Male,34,4,0.0,2,1,1,66721.98
626,15626900,427,France,Male,29,1,141325.56,1,1,1,93839.3
9680,15655335,590,France,Male,36,1,0.0,2,1,0,48876.84
6754,15688085,627,Spain,Female,28,3,157597.61,1,0,1,34097.22
4835,15590623,561,Spain,Male,34,4,85141.79,2,1,1,29217.37
1915,15769051,503,Spain,Male,25,7,0.0,1,0,1,192841.13
559,15571816,850,Spain,Female,70,5,0.0,1,1,1,705.18
4428,15742028,602,France,Female,35,5,0.0,2,1,0,31050.02
6535,15776985,652,France,Female,36,6,112518.71,2,0,1,110421.31
130,15740404,758,France,Female,34,3,0.0,2,1,1,124226.16
225,15699029,670,France,Male,37,4,170557.91,2,1,0,198252.88
4911,15691004,407,Spain,Male,37,1,0.0,1,1,1,49161.12
2485,15659501,753,France,Female,38,6,142263.45,1,0,1,33730.43
7288,15672637,571,France,Female,30,4,85755.86,1,1,0,145115.95
9984,15696175,602,Germany,Male,35,7,90602.42,2,1,1,51695.41
3550,15648455,647,Germany,Male,51,4,131156.76,1,1,0,29883.63
1043,15570417,579,France,Male,35,1,0.0,2,1,0,4460.2
875,15653762,501,France,Female,39,9,117301.66,1,0,0,182025.95
339,15807923,716,Germany,Female,39,10,115301.31,1,1,0,43527.4
2663,15717898,542,Spain,Male,32,2,131945.94,1,0,1,159737.56
235,15772896,763,Germany,Male,42,6,100160.75,1,1,0,33462.94
5913,15639530,679,Spain,Male,42,2,0.0,1,1,1,168294.27
61,15773469,687,Germany,Female,27,9,152328.88,2,0,0,126494.82
4499,15773322,536,Germany,Female,44,4,121898.82,1,0,0,131007.18
3130,15813113,795,Spain,Female,56,5,0.0,1,1,0,35418.69
2254,15585533,679,France,Male,36,6,147733.64,1,0,1,172501.38
2517,15577064,592,Germany,Male,36,2,104702.65,2,1,0,107948.72
5469,15678571,723,France,Male,21,4,0.0,2,0,0,24847.02
6836,15591344,715,Spain,Male,42,6,0.0,2,1,1,128745.69
8202,15747647,589,Spain,Female,27,4,0.0,2,1,0,144181.48
869,15710424,435,France,Male,36,4,0.0,1,1,1,197015.2
5679,15621974,778,Germany,Female,33,4,111063.73,2,1,0,83556.65
7013,15599440,748,France,Female,34,8,0.0,2,1,0,53584.03
1719,15746970,760,Spain,Female,57,1,0.0,2,1,1,25101.17
9702,15687828,644,Spain,Female,31,5,86006.3,1,1,1,73922.95
8506,15605215,767,France,Male,48,9,0.0,2,0,1,175458.21
9348,15807239,664,France,Female,34,7,93920.47,1,0,0,179913.98
2011,15726267,570,France,Male,32,9,117337.54,2,0,1,62810.91
8275,15737489,610,Spain,Female,46,5,116886.59,1,0,0,107973.44
1287,15565701,698,Spain,Female,39,9,161993.89,1,0,0,90212.38
4614,15718245,730,France,Male,34,1,0.0,2,1,1,126592.01
160,15692132,717,Spain,Female,22,6,101060.25,1,0,1,84699.56
5220,15753174,571,Germany,Male,37,9,139592.98,3,1,0,104152.65
110,15803526,685,Germany,Male,30,3,90536.81,1,0,1,63082.88
5804,15663933,625,Germany,Female,35,5,86147.46,2,1,0,163440.8
9320,15780215,636,France,Male,31,6,0.0,2,1,1,2382.61
4409,15781598,756,Germany,Male,41,6,149049.92,1,0,1,50422.36
9652,15726720,480,France,Female,40,7,0.0,1,1,0,170332.67
7812,15695280,532,Germany,Male,24,8,142755.25,1,0,0,34231.48
8881,15618647,744,France,Male,29,1,43504.42,1,1,1,119327.75
680,15780804,482,France,Male,55,5,97318.25,1,0,1,78416.14
8330,15707974,815,Spain,Female,38,2,48387.0,1,1,0,184796.84
6152,15735080,508,France,Female,64,2,0.0,1,1,1,6076.62
755,15660101,803,France,Male,31,9,157120.86,2,1,0,141300.53
409,15691625,537,Germany,Female,41,3,138306.34,1,1,0,106761.47
7782,15595991,585,France,Male,54,8,87105.32,1,1,1,55346.14
7480,15812766,490,Spain,Male,40,6,156111.08,1,0,0,190889.13
5112,15586135,536,Spain,Female,28,4,0.0,1,1,1,136197.65
2025,15752953,634,France,Male,45,9,0.0,2,0,0,17622.82
6720,15647207,609,France,Male,26,7,0.0,2,1,0,98463.99
4896,15640464,605,France,Male,41,5,91612.91,1,1,1,28427.84
2538,15752838,723,Spain,Male,38,6,0.0,2,1,1,94415.6
2384,15758531,732,France,Female,40,10,0.0,2,1,0,154189.08
165,15585388,660,Germany,Male,31,9,125189.75,2,1,1,139874.43
9953,15655952,550,France,Male,47,2,0.0,2,1,1,97057.28
947,15741336,715,France,Female,38,5,118590.41,1,1,1,5684.17
852,15677610,511,Germany,Female,41,8,153895.65,1,1,1,39087.42
6824,15740264,640,France,Male,38,9,0.0,2,1,0,88827.67
2156,15762138,608,France,Male,42,5,0.0,2,1,0,178504.29
915,15775625,596,France,Male,47,6,0.0,1,1,0,74835.65
8903,15790019,520,France,Male,35,9,105387.89,1,1,1,25059.06
9825,15701936,467,Germany,Male,28,10,126315.26,1,1,0,32349.29
5374,15607753,606,Spain,Female,23,10,70417.79,1,0,1,90896.04
8536,15676576,646,France,Female,43,8,143061.88,1,1,0,61937.6
4783,15729224,710,France,Female,37,5,0.0,2,1,0,115403.31
8468,15672983,678,Spain,Female,27,5,87099.85,2,1,0,149550.95
4426,15749557,707,France,Female,44,6,0.0,2,1,1,192542.17
4859,15647111,794,Spain,Female,22,4,114440.24,1,1,1,107753.07
1867,15740164,715,France,Female,33,3,85227.84,1,1,1,68087.15
1714,15738828,730,Germany,Male,45,6,152880.97,1,0,0,162478.11
2225,15774098,701,Germany,Male,38,3,125385.49,2,0,1,52044.66
9192,15791040,801,Spain,Male,58,1,79954.61,2,1,1,30484.19
735,15784209,497,France,Male,47,6,0.0,1,1,1,90055.08
6263,15745826,445,France,Male,37,3,0.0,2,1,1,180012.39
4806,15617252,697,France,Female,33,1,87347.7,1,1,0,172524.51
2841,15748473,801,France,Male,38,5,0.0,2,1,0,66256.27
4340,15692631,577,Spain,Female,44,8,115557.0,1,0,1,127506.76
4227,15789941,633,France,Female,36,6,125130.28,1,0,0,125961.48
8949,15649239,731,Spain,Male,46,10,0.0,2,1,0,153015.42
729,15612525,499,France,Female,57,1,0.0,1,0,0,131372.38
8235,15760177,564,Spain,Male,37,9,100252.18,1,1,1,146033.52
8069,15700654,617,Germany,Male,44,9,49157.09,2,1,0,53294.17
7393,15757434,599,France,Male,28,7,119706.22,1,0,0,31190.42
6951,15738889,658,France,Male,42,8,102870.93,1,0,1,103764.55
7772,15614168,792,Germany,Female,50,4,146710.76,1,1,0,16528.4
3368,15733303,630,France,Male,67,5,0.0,2,1,1,27330.27
380,15713578,483,France,Female,50,9,0.0,2,1,1,111020.24
5897,15709604,781,France,Male,23,2,107433.48,1,1,0,173843.21
6888,15727539,618,France,Female,31,4,0.0,2,1,0,29176.04
7561,15700046,635,France,Male,41,4,103544.88,2,1,0,193746.55
9319,15575486,529,France,Female,27,1,0.0,2,1,1,37769.98
3278,15683758,640,France,Male,44,7,111833.47,1,1,0,67202.74
6400,15585907,676,Spain,Female,30,5,0.0,2,0,0,179066.58
5340,15612667,680,Spain,Male,42,0,0.0,1,1,0,136377.21
4709,15713505,554,France,Male,31,1,0.0,2,0,1,192660.55
3242,15729908,411,France,Female,36,10,0.0,1,0,0,120694.35
6659,15584749,668,Germany,Male,39,4,79896.0,1,1,0,38466.39
7877,15793070,494,Spain,Female,41,2,69974.66,2,1,0,188426.13
3813,15665402,703,Spain,Male,73,5,137761.55,1,1,1,159677.46
1375,15574004,429,France,Female,27,6,117307.44,2,1,1,24020.49
2083,15779738,534,France,Male,24,1,0.0,1,1,1,169653.32
8430,15775949,612,France,Female,38,7,110615.47,1,1,1,193502.93
578,15734674,593,France,Female,41,6,0.0,1,1,0,65170.66
3703,15768451,739,Germany,Male,40,5,149131.03,3,1,1,60036.99
6362,15814750,629,Spain,Male,34,8,0.0,2,1,1,180595.02
8731,15769125,727,Spain,Female,41,10,0.0,2,0,1,47468.56
6637,15668767,850,France,Male,36,3,0.0,2,1,0,195033.07
4657,15736302,687,France,Male,48,4,0.0,2,1,1,170893.85
2009,15732917,729,Germany,Male,46,5,117837.43,1,1,0,104016.61
146,15705707,635,Spain,Female,29,8,138296.94,2,1,0,141075.51
3336,15671390,690,Spain,Male,36,10,0.0,2,1,0,55902.93
7795,15604497,458,Germany,Male,44,7,84386.57,1,1,0,178642.73
9044,15653347,560,Spain,Male,47,1,0.0,1,0,0,128882.66
3510,15800814,534,France,Male,35,2,81951.74,2,1,0,115668.53
5990,15625494,573,France,Female,32,9,125321.84,2,1,1,130234.63
4514,15658670,669,France,Female,38,8,0.0,2,1,0,84049.16
8665,15727291,821,France,Female,40,1,0.0,2,1,0,194273.12
8228,15632609,554,France,Female,39,10,160132.75,1,1,0,32824.15
9624,15668309,350,France,Female,40,0,111098.85,1,1,1,172321.21
2633,15766776,576,France,Male,41,1,0.0,1,1,1,188274.6
9673,15784148,643,France,Male,62,9,0.0,2,0,0,155870.82
722,15736879,669,France,Male,23,1,0.0,2,0,0,66088.83
1125,15645316,612,Germany,Female,58,1,149641.53,1,1,1,115161.28
434,15799384,683,France,Male,33,8,0.0,1,0,0,73564.44
6996,15614962,623,Spain,Female,50,2,87116.71,1,1,1,104382.11
335,15697441,485,France,Male,29,7,182123.79,1,1,0,116828.51
9360,15671934,552,Germany,Male,39,2,132906.88,1,0,1,149384.43
6575,15651883,794,Germany,Female,55,6,115796.7,1,1,0,160526.36
6500,15625964,582,France,Female,43,5,153313.67,1,0,0,170563.73
1458,15678385,465,France,Male,25,2,78247.31,2,1,1,10472.31
3952,15796114,594,France,Female,34,7,141525.55,1,0,0,9443.15
3001,15675949,696,Spain,Female,43,4,0.0,2,1,1,66406.37
8147,15814675,642,Germany,Female,39,8,128264.03,1,1,0,61792.76
1640,15661528,583,Spain,Male,47,5,102562.23,1,1,0,92708.1
6579,15652401,496,France,Female,36,7,0.0,2,0,0,108098.28
4537,15777436,710,Spain,Female,31,5,0.0,2,1,0,9561.73
6095,15741652,600,Spain,Male,37,8,177657.35,1,1,1,77142.32
1266,15749050,548,France,Female,36,3,0.0,1,1,0,65996.9
8431,15586752,628,Germany,Male,33,8,152143.89,1,1,1,32174.03
8317,15670163,666,France,Female,27,4,0.0,2,0,0,88751.45
9003,15792720,676,France,Male,33,6,171490.78,1,0,0,79099.64
6889,15651020,473,France,Female,25,6,110666.42,2,0,0,46758.42
8225,15804142,670,Spain,Female,57,3,175575.95,2,1,0,99061.75
9849,15776211,678,France,Female,34,6,0.0,2,1,1,124592.84
3825,15762928,548,Spain,Male,44,8,0.0,1,1,0,16989.77
4707,15701281,511,France,Male,27,8,0.0,2,1,1,49089.36
9637,15803654,790,France,Female,31,2,151290.16,1,1,1,172437.12
6883,15678460,691,France,Male,30,9,0.0,1,1,0,49594.02
3043,15746422,636,France,Female,38,1,0.0,1,1,0,45015.38
2511,15693267,679,Germany,Female,34,7,121063.85,1,1,0,56984.58
3556,15651823,590,France,Female,60,6,147751.75,1,1,0,88206.04
9810,15705994,712,Spain,Male,27,10,0.0,1,1,0,94544.88
6421,15579994,616,France,Male,23,8,73112.95,1,1,1,62733.05
750,15790314,649,France,Male,41,0,0.0,2,0,1,130567.02
3531,15653251,408,France,Female,84,8,87873.39,1,0,0,188484.52
4619,15622532,708,France,Female,47,0,126589.12,2,0,1,132730.07
3887,15769110,653,France,Female,46,5,0.0,2,1,0,49707.85
847,15586959,468,France,Female,42,5,0.0,2,1,0,125305.34
910,15599660,604,France,Male,36,6,116229.85,2,1,1,79633.38
8799,15803801,454,France,Male,34,4,0.0,2,1,0,198817.72
2642,15581548,637,Spain,Female,22,5,98800.0,1,1,0,122865.55
1459,15571778,817,France,Female,55,10,117561.49,1,1,0,95941.55
4460,15637678,661,France,Male,35,5,0.0,1,1,0,155394.52
3653,15744240,688,Germany,Female,46,0,74458.25,1,0,1,6866.31
7637,15604196,766,France,Male,32,6,185714.28,1,1,1,102502.5
162,15630910,800,France,Female,49,7,108007.36,1,0,0,47125.11
